,Population 2021,,,,
,,,,,
,,,,,
,Ranking,,Economy,(thousands),
,,,,,
CHN,1,,China," 1,412,360 ",
IND,2,,India," 1,393,409 ",
USA,3,,United States," 331,894 ",
IDN,4,,Indonesia," 276,362 ",
PAK,5,,Pakistan," 225,200 ",
BRA,6,,Brazil," 213,993 ",
NGA,7,,Nigeria," 211,401 ",
BGD,8,,Bangladesh," 166,303 ",
RUS,9,,Russian Federation," 143,446 ",
MEX,10,,Mexico," 130,262 ",
JPN,11,,Japan," 125,682 ",
ETH,12,,Ethiopia," 117,876 ",
PHL,13,,Philippines," 111,047 ",
EGY,14,,"Egypt, Arab Rep."," 104,258 ",
VNM,15,,Vietnam," 98,169 ",
COD,16,,"Congo, Dem. Rep."," 92,378 ",
TUR,17,,Türkiye," 85,043 ",
IRN,18,,"Iran, Islamic Rep."," 85,029 ",
DEU,19,,Germany," 83,129 ",
THA,20,,Thailand," 69,951 ",
FRA,21,,France," 67,499 ",
GBR,22,,United Kingdom," 67,327 ",
TZA,23,,Tanzania," 61,498 ",
ZAF,24,,South Africa," 60,042 ",
ITA,25,,Italy," 59,066 ",
KEN,26,,Kenya," 54,986 ",
MMR,27,,Myanmar," 54,806 ",
KOR,28,,"Korea, Rep."," 51,745 ",
COL,29,,Colombia," 51,266 ",
ESP,30,,Spain," 47,327 ",
UGA,31,,Uganda," 47,124 ",
ARG,32,,Argentina," 45,809 ",
SDN,33,,Sudan," 44,909 ",
DZA,34,,Algeria," 44,617 ",
UKR,35,,Ukraine," 43,815 ",
IRQ,36,,Iraq," 41,179 ",
AFG,37,,Afghanistan," 39,835 ",
CAN,38,,Canada," 38,246 ",
POL,39,,Poland," 37,781 ",
MAR,40,,Morocco," 37,345 ",
SAU,41,,Saudi Arabia," 35,341 ",
UZB,42,,Uzbekistan," 34,915 ",
AGO,43,,Angola," 33,934 ",
PER,44,,Peru," 33,359 ",
MYS,45,,Malaysia," 32,776 ",
MOZ,46,,Mozambique," 32,163 ",
GHA,47,,Ghana," 31,732 ",
YEM,48,,"Yemen, Rep."," 30,491 ",
NPL,49,,Nepal," 29,675 ",
VEN,50,,"Venezuela, RB"," 28,705 ",
MDG,51,,Madagascar," 28,427 ",
CMR,52,,Cameroon," 27,224 ",
CIV,53,,Côte d'Ivoire," 27,054 ",
PRK,54,,"Korea, Dem. People's Rep."," 25,887 ",
AUS,55,,Australia," 25,739 ",
NER,56,,Niger," 25,131 ",
LKA,57,,Sri Lanka," 22,156 ",
BFA,58,,Burkina Faso," 21,497 ",
MLI,59,,Mali," 20,856 ",
MWI,60,,Malawi," 19,648 ",
CHL,61,,Chile," 19,212 ",
ROU,62,,Romania," 19,115 ",
KAZ,63,,Kazakhstan," 19,003 ",
ZMB,64,,Zambia," 18,921 ",
SYR,65,,Syrian Arab Republic," 18,276 ",
ECU,66,,Ecuador," 17,888 ",
NLD,67,,Netherlands," 17,533 ",
SEN,68,,Senegal," 17,196 ",
GTM,69,,Guatemala," 17,110 ",
KHM,70,,Cambodia," 16,946 ",
TCD,71,,Chad," 16,915 ",
SOM,72,,Somalia," 16,360 ",
ZWE,73,,Zimbabwe," 15,092 ",
