"Country Name","Country Code","Indicator Name","Indicator Code","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"East Asia & Pacific","EAS","Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)","SI.SPR.PC40.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Annualized growth in per capita real survey mean consumption or income, top 10% (%)","SI.SPR.PT10.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Annualized growth in per capita real survey mean consumption or income, top 60% (%)","SI.SPR.PT60.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Annualized growth in per capita real survey mean consumption or income, total population (%)","SI.SPR.PCAP.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Annualized growth in per capita real survey median income or consumption expenditure (%)","SI.POV.XPND.MD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Gini index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Gini index (World Bank estimate), first comparable values","SI.POV.GINI.FS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Gini index (World Bank estimate), second comparable values","SI.POV.GINI.SG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Gini index (World Bank estimate), third comparable values","SI.POV.GINI.TH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Income share held by third 20%","SI.DST.03RD.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Median daily per capita income or consumption expenditure (2011 PPP)","SI.POV.XPND.MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Multidimensional poverty, Drinking water (% of population deprived)","SI.POV.WATR.MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Multidimensional poverty, Educational attainment (% of population deprived)","SI.POV.ATTM.MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Multidimensional poverty, Educational enrollment (% of population deprived)","SI.POV.ENRL.MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Multidimensional poverty, Electricity (% of population deprived)","SI.POV.ELEC.MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Multidimensional poverty, Headcount ratio (% of population)","SI.POV.HCRT.MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Multidimensional poverty, Monetary poverty (% of population deprived)","SI.POV.DDAY.MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Multidimensional poverty, Sanitation (% of population deprived)","SI.POV.SANI.MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Number of poor at $1.90 a day (2011 PPP) (millions)","SI.POV.NOP1","","","","","","","","1108.4","1096.5","1069.6","1012.4","969.4","941.9","897.9","828","1001.1","977.3","959.8","928","891.8","843.7","766.1","699.8","707","738","681.6","632.3","600.8","538.6","483.4","423.6","348","341.5","302.7","286.4","251.5","212.1","161.6","137.3","66","53.8","42.1","35.4","29.2","24.6","19.9","",
"East Asia & Pacific","EAS","Number of poor at $3.10 a day (2011 PPP) (millions)","SI.POV.NOP2","","","","","","","","1286.2","","","1307.64","","","1296.77","","","1341.64","","","1300.29","","","1182.53","","","1164.16","","","1013.08","","","811.72","","","682.13","","564.02","487.7","439.19","320.58","","","","","","","",
"East Asia & Pacific","EAS","Number of poor at $3.20 a day (2011 PPP) (millions)","SI.POV.LMIC.NO","","","","","","","","1291.2","1306.1","1318.5","1318","1320.8","1324.6","1318.2","1297.3","1361.5","1364.1","1364.2","1349.3","1329.4","1295","1257.8","1219.2","1218.7","1231.5","1198.5","1154.7","1119.7","1046.9","997","935.9","845","819.4","752.3","717.4","667.2","589.4","512.6","461.4","340.4","293.3","242.8","211.4","174.3","147.6","131.1","",
"East Asia & Pacific","EAS","Number of poor at $5.50 a day (2011 PPP) (millions)","SI.POV.UMIC.NO","","","","","","","","1341.5","1363.5","1385.2","1405","1426.2","1447.2","1467.3","1485.3","1508.4","1526.7","1543.1","1551.6","1559","1560.2","1557.3","1550.2","1556.8","1568.6","1562","1538.3","1517.8","1475.1","1447.9","1411.5","1352.7","1322.9","1262.3","1228.5","1181.1","1093.8","1027.4","960.7","842.9","768.9","698.7","640.8","571.2","513.8","473","",
